CCDM1,BAND,M1_RAWX,M1_RAWY1,M1_RAWY2,REV1,REV2
1,8,497,99,102,4124,10000
1,8,498,98,102,4124,10000
1,8,499,98,102,4124,10000
1,8,500,98,102,4124,10000
1,8,514,261,265,2392,3678
1,8,515,260,266,2392,3678
1,8,516,259,266,2392,3678
1,8,517,258,266,2392,3678
1,8,518,258,266,2392,3678
1,8,519,258,265,2392,3678
1,8,520,258,264,2392,3678
1,8,521,258,264,2392,3678
1,8,522,259,263,2392,3678
1,8,52,422,596,721,10000
1,8,53,422,596,721,10000
1,8,54,422,596,721,10000
1,8,55,422,596,721,10000
1,8,56,422,596,721,10000
1,8,57,422,596,721,10000
2,8,229,1,592,952,4142
2,8,230,1,592,952,4142
2,8,231,1,592,952,4142
2,8,232,1,592,952,4142
2,8,233,1,592,952,4142
2,8,234,1,592,952,4142
2,8,418,263,267,2376,2478
2,8,419,262,267,2376,2478
2,8,420,262,267,2376,2478
2,8,421,262,267,2376,2478
2,8,422,262,267,2376,2478
2,8,423,263,267,2376,2478
2,8,451,419,592,0,10000
2,8,452,419,592,0,10000
2,8,453,419,592,0,10000
2,8,377,590,592,0,10000
2,8,378,589,592,0,10000
2,8,379,589,592,0,10000
2,8,380,589,592,0,10000
2,8,381,589,592,0,10000
2,8,382,589,592,0,10000
2,8,383,590,592,0,10000
3,8,95,473,475,0,2356
3,8,96,472,475,0,2356
3,8,97,472,475,0,2356
3,8,98,472,475,0,2356
4,8,364,1,594,2383,2558
4,8,365,1,594,2383,2558
4,8,366,1,594,2383,2558
4,8,367,1,594,2383,2558
4,8,368,1,594,2383,2558
4,8,369,1,594,2383,2558
4,8,270,156,161,2569,10000
4,8,271,156,161,2569,10000
4,8,272,156,161,2569,10000
4,8,273,156,161,2569,10000
4,8,274,156,161,2569,10000
4,8,275,156,161,2569,10000
4,8,276,157,160,2569,10000
4,8,144,175,185,2382,10000
4,8,144,187,190,2382,10000
4,8,144,199,202,2382,10000
4,8,144,205,208,2382,10000
4,8,144,223,234,2382,10000
4,8,145,174,238,2382,10000
4,8,146,173,241,2382,10000
4,8,147,173,241,2382,10000
4,8,148,173,241,2382,10000
4,8,149,176,196,2382,10000
4,8,149,199,240,2382,10000
4,8,150,180,182,2382,10000
4,8,383,227,229,2611,10000
4,8,384,227,229,2611,10000
4,8,385,227,229,2611,10000
4,8,10,234,246,357,2416
4,8,11,234,247,357,2416
4,8,12,234,247,357,2416
4,8,13,234,247,357,2416
4,8,14,235,246,357,2416
4,8,15,235,237,357,2416
4,8,67,298,311,2384,10000
4,8,67,313,315,2384,10000
4,8,68,297,316,2384,10000
4,8,69,297,316,2384,10000
4,8,70,297,316,2384,10000
4,8,71,297,316,2384,10000
4,8,72,298,315,2384,10000
4,8,73,299,310,2384,10000
4,8,74,304,307,2384,10000
4,8,257,583,587,3046,10000
4,8,258,582,587,3046,10000
4,8,259,582,587,3046,10000
4,8,260,582,587,3046,10000
4,8,261,582,587,3046,10000
4,8,262,583,587,3046,10000
4,8,263,584,586,3046,10000
5,8,370,106,108,0,10000
5,8,371,106,108,0,10000
5,8,372,106,108,0,10000
5,8,434,123,126,3256,3422
5,8,435,123,127,3256,3422
5,8,436,123,127,3256,3422
5,8,437,123,127,3256,3422
5,8,438,123,127,3256,3422
5,8,439,123,127,3256,3422
5,8,565,125,128,0,10000
5,8,566,125,128,0,10000
5,8,567,125,128,0,10000
5,8,583,130,132,2513,10000
5,8,584,127,134,2513,10000
5,8,585,127,134,2513,10000
5,8,586,127,135,2513,10000
5,8,587,127,135,2513,10000
5,8,588,127,135,2513,10000
5,8,589,128,135,2513,10000
5,8,590,130,132,2513,10000
5,8,412,180,186,2422,4060
5,8,413,179,186,2422,4060
5,8,414,179,186,2422,4060
5,8,415,179,186,2422,4060
5,8,416,179,186,2422,4060
5,8,417,179,186,2422,4060
5,8,418,181,183,2422,4060
5,8,403,184,192,2471,10000
5,8,404,183,193,2471,10000
5,8,405,182,193,2471,10000
5,8,406,181,193,2471,10000
5,8,407,181,192,2471,10000
5,8,408,181,191,2471,10000
5,8,409,183,188,2471,10000
5,8,176,352,357,2403,2448
5,8,177,352,358,2403,2448
5,8,178,352,358,2403,2448
5,8,179,352,358,2403,2448
5,8,180,352,358,2403,2448
5,8,181,352,357,2403,2448
5,8,574,429,434,2747,10000
5,8,575,429,434,2747,10000
5,8,576,429,434,2747,10000
5,8,577,429,434,2747,10000
5,8,578,429,433,2747,10000
5,8,579,430,433,2747,10000
5,8,234,533,535,3256,10000
5,8,235,531,537,3256,10000
5,8,236,531,537,3256,10000
5,8,237,531,537,3256,10000
5,8,238,531,537,3256,10000
5,8,239,532,535,3256,10000
5,8,284,532,536,3261,3690
5,8,285,532,536,3261,3690
5,8,286,532,536,3261,3690
5,8,287,532,536,3261,3690
5,8,288,532,535,3261,3690
5,8,229,553,557,2733,10000
5,8,230,551,557,2733,10000
5,8,231,551,557,2733,10000
5,8,232,551,557,2733,10000
5,8,233,553,556,2733,10000
6,8,571,263,265,403,514
6,8,572,261,266,403,514
6,8,573,261,266,403,514
6,8,574,261,266,403,514
6,8,575,262,266,403,514
6,8,579,413,415,536,959
6,8,580,413,415,536,959
6,8,581,413,415,536,959
7,8,222,594,599,0,10000
7,8,223,592,600,0,10000
7,8,224,591,600,0,10000
7,8,225,591,600,0,10000
7,8,226,591,600,0,10000
7,8,227,591,600,0,10000
7,8,228,591,600,0,10000
7,8,229,593,597,0,10000
7,8,150,593,596,0,10000
7,8,151,592,597,0,10000
7,8,152,592,598,0,10000
7,8,153,592,598,0,10000
7,8,154,592,598,0,10000
7,8,155,592,596,0,10000
7,8,372,593,596,0,10000
7,8,373,592,597,0,10000
7,8,374,592,597,0,10000
7,8,375,592,597,0,10000
7,8,376,592,597,0,10000
7,8,377,592,596,0,10000
7,8,378,593,596,0,10000
