CCDPN,BAND,PN_RAWX,PN_RAWY1,PN_RAWY2,REV1,REV2
1,8,4,21,21,3171,10000
1,8,23,53,53,2413,10000
1,8,50,81,81,3534,10000
1,8,60,113,113,0,10000
1,8,22,132,132,0,10000
1,8,51,148,148,3562,10000
1,8,34,199,200,3711,4065
2,8,54,34,34,2835,10000
2,8,49,56,56,3385,10000
2,8,6,92,92,3564,10000
2,8,55,129,201,835,10000
2,8,34,152,152,765,10000
2,8,44,152,152,2698,10000
2,8,60,152,201,0,10000
2,8,28,154,154,2141,10000
2,8,41,187,187,2951,10000
2,8,47,187,187,0,10000
3,8,28,95,95,1761,10000
3,8,54,107,107,3283,10000
3,8,28,142,201,1141,10000
3,8,37,161,161,0,10000
3,8,38,179,180,3419,10000
3,8,45,184,184,3320,10000
3,8,22,186,187,0,10000
4,8,29,21,21,3171,10000
4,8,24,61,61,3171,10000
4,8,15,77,77,0,10000
4,8,62,82,82,3391,10000
4,8,35,87,87,2041,10000
4,8,2,89,89,3314,10000
4,8,32,114,114,2531,10000
4,8,44,151,151,3026,10000
4,8,44,182,182,3582,10000
4,8,8,186,186,3215,10000
5,8,39,20,20,2847,10000
5,8,9,69,69,0,10000
5,8,57,79,79,2531,10000
5,8,36,163,163,3215,10000
5,8,60,174,174,2322,10000
5,8,25,179,179,2832,10000
5,8,41,182,184,0,10000
5,8,45,189,189,0,10000
5,8,38,194,194,3588,10000
6,8,55,120,120,0,10000
6,8,11,162,201,0,10000
6,8,51,182,182,0,10000
6,8,4,187,187,0,10000
6,8,4,190,190,0,10000
6,8,4,194,195,0,10000
6,8,4,198,199,0,10000
7,8,22,66,66,2679,10000
7,8,46,86,86,4251,10000
7,8,39,92,92,0,10000
8,8,57,53,53,2012,10000
8,8,58,53,53,2012,10000
8,8,59,53,53,2012,10000
8,8,51,62,62,2959,10000
8,8,44,66,66,3175,10000
8,8,19,85,85,2645,10000
8,8,51,113,113,3068,10000
8,8,13,133,133,2679,10000
8,8,5,160,160,0,10000
8,8,32,198,198,0,10000
9,8,25,66,66,1993,10000
9,8,19,89,89,2885,10000
9,8,33,156,156,2409,10000
9,8,23,179,179,0,10000
9,8,48,180,180,3388,10000
9,8,23,182,182,0,10000
9,8,23,187,187,0,10000
9,8,23,190,190,0,10000
9,8,23,195,195,0,10000
9,8,23,198,198,0,10000
10,8,13,17,17,0,10000
10,8,40,19,19,0,10000
10,8,41,18,19,0,10000
10,8,42,19,19,0,10000
10,8,20,63,63,2698,10000
10,8,58,107,107,2949,10000
10,8,32,196,196,3175,10000
10,8,38,196,196,865,10000
11,8,32,15,15,2092,10000
11,8,22,27,27,0,10000
11,8,63,39,201,0,4149
11,8,64,39,201,0,4149
11,8,56,72,72,2679,10000
11,8,59,86,86,2413,10000
11,8,6,89,89,3548,10000
11,8,33,90,90,3060,10000
11,8,7,120,120,2967,10000
11,8,41,137,137,692,10000
11,8,18,138,201,0,10000
11,8,19,138,201,0,10000
11,8,33,146,201,730,10000
11,8,9,154,201,858,10000
11,8,10,154,201,858,10000
11,8,43,154,201,0,10000
11,8,12,158,201,0,10000
11,8,37,160,160,1926,10000
11,8,50,198,198,0,10000
12,8,36,66,66,0,10000
12,8,18,136,136,3175,10000
12,8,44,138,201,0,10000
12,8,22,140,140,2700,10000
12,8,49,142,201,777,10000
12,8,5,156,201,1498,10000
12,8,51,158,158,3314,10000
12,8,7,162,162,1585,10000
12,8,57,183,183,0,10000
12,8,11,187,187,3648,10000
12,8,57,187,187,0,10000
12,8,57,191,191,0,10000
12,8,57,194,195,0,10000
12,8,57,198,198,0,10000
12,8,53,199,199,0,10000
