RAWX,RAWY,CCDNR,REV1,REV2
580,9,1,0,10000
580,10,1,0,10000
580,11,1,0,10000
581,9,1,0,10000
581,10,1,0,10000
581,11,1,0,10000
582,9,1,0,10000
582,10,1,0,10000
582,11,1,0,10000
581,21,1,0,10000
581,22,1,0,10000
581,23,1,0,10000
581,24,1,0,10000
582,21,1,0,10000
582,22,1,0,10000
582,23,1,0,10000
582,24,1,0,10000
583,21,1,0,10000
583,22,1,0,10000
583,23,1,0,10000
583,24,1,0,10000
579,28,1,0,10000
579,29,1,0,10000
579,30,1,0,10000
579,31,1,0,10000
580,28,1,0,10000
580,29,1,0,10000
580,30,1,0,10000
580,31,1,0,10000
581,28,1,0,10000
581,29,1,0,10000
581,30,1,0,10000
581,31,1,0,10000
578,405,1,1130,4110
578,406,1,1130,4110
578,407,1,1130,4110
578,408,1,1130,4110
578,409,1,1130,4110
578,410,1,1130,4110
578,411,1,1130,4110
578,412,1,1130,4110
578,413,1,1130,4110
578,414,1,1130,4110
578,415,1,1130,4110
578,416,1,1130,4110
578,417,1,1130,4110
578,418,1,1130,4110
578,419,1,1130,4110
578,420,1,1130,4110
578,421,1,1130,4110
578,422,1,1130,4110
578,423,1,1130,4110
578,424,1,1130,4110
578,425,1,1130,4110
578,426,1,1130,4110
578,427,1,1130,4110
578,428,1,1130,4110
578,429,1,1130,4110
578,430,1,1130,4110
578,431,1,1130,4110
578,432,1,1130,4110
578,433,1,1130,4110
578,434,1,1130,4110
578,435,1,1130,4110
578,436,1,1130,4110
578,437,1,1130,4110
578,438,1,1130,4110
578,439,1,1130,4110
578,440,1,1130,4110
578,441,1,1130,4110
578,442,1,1130,4110
578,443,1,1130,4110
578,444,1,1130,4110
578,445,1,1130,4110
578,446,1,1130,4110
578,447,1,1130,4110
578,448,1,1130,4110
578,449,1,1130,4110
578,450,1,1130,4110
578,451,1,1130,4110
578,452,1,1130,4110
578,453,1,1130,4110
578,454,1,1130,4110
578,455,1,1130,4110
578,456,1,1130,4110
578,457,1,1130,4110
578,458,1,1130,4110
578,459,1,1130,4110
578,460,1,1130,4110
578,461,1,1130,4110
578,462,1,1130,4110
578,463,1,1130,4110
578,464,1,1130,4110
578,465,1,1130,4110
578,466,1,1130,4110
578,467,1,1130,4110
578,468,1,1130,4110
578,469,1,1130,4110
578,470,1,1130,4110
578,471,1,1130,4110
578,472,1,1130,4110
578,473,1,1130,4110
578,474,1,1130,4110
578,475,1,1130,4110
578,476,1,1130,4110
578,477,1,1130,4110
578,478,1,1130,4110
578,479,1,1130,4110
578,480,1,1130,4110
578,481,1,1130,4110
578,482,1,1130,4110
578,483,1,1130,4110
578,484,1,1130,4110
578,485,1,1130,4110
578,486,1,1130,4110
578,487,1,1130,4110
578,488,1,1130,4110
578,489,1,1130,4110
578,490,1,1130,4110
578,491,1,1130,4110
578,492,1,1130,4110
578,493,1,1130,4110
578,494,1,1130,4110
578,495,1,1130,4110
578,496,1,1130,4110
578,497,1,1130,4110
578,498,1,1130,4110
578,499,1,1130,4110
578,500,1,1130,4110
578,501,1,1130,4110
578,502,1,1130,4110
578,503,1,1130,4110
578,504,1,1130,4110
