RAWX,RAWY,CCDNR,REV1,REV2
4,21,1,3171,10000
23,53,1,2413,10000
50,81,1,3534,10000
60,113,1,0,10000
22,132,1,0,10000
51,148,1,3562,10000
34,199,1,3711,4065
34,200,1,3711,4065
54,34,2,2835,10000
49,56,2,3385,10000
6,92,2,3564,10000
55,129,2,835,10000
55,130,2,835,10000
55,131,2,835,10000
55,132,2,835,10000
55,133,2,835,10000
55,134,2,835,10000
55,135,2,835,10000
55,136,2,835,10000
55,137,2,835,10000
55,138,2,835,10000
55,139,2,835,10000
55,140,2,835,10000
55,141,2,835,10000
55,142,2,835,10000
55,143,2,835,10000
55,144,2,835,10000
55,145,2,835,10000
55,146,2,835,10000
55,147,2,835,10000
55,148,2,835,10000
55,149,2,835,10000
55,150,2,835,10000
55,151,2,835,10000
55,152,2,835,10000
55,153,2,835,10000
55,154,2,835,10000
55,155,2,835,10000
55,156,2,835,10000
55,157,2,835,10000
55,158,2,835,10000
55,159,2,835,10000
55,160,2,835,10000
55,161,2,835,10000
55,162,2,835,10000
55,163,2,835,10000
55,164,2,835,10000
55,165,2,835,10000
55,166,2,835,10000
55,167,2,835,10000
55,168,2,835,10000
55,169,2,835,10000
55,170,2,835,10000
55,171,2,835,10000
55,172,2,835,10000
55,173,2,835,10000
55,174,2,835,10000
55,175,2,835,10000
55,176,2,835,10000
55,177,2,835,10000
55,178,2,835,10000
55,179,2,835,10000
55,180,2,835,10000
55,181,2,835,10000
55,182,2,835,10000
55,183,2,835,10000
55,184,2,835,10000
55,185,2,835,10000
55,186,2,835,10000
55,187,2,835,10000
55,188,2,835,10000
55,189,2,835,10000
55,190,2,835,10000
55,191,2,835,10000
55,192,2,835,10000
55,193,2,835,10000
55,194,2,835,10000
55,195,2,835,10000
55,196,2,835,10000
55,197,2,835,10000
55,198,2,835,10000
55,199,2,835,10000
55,200,2,835,10000
55,201,2,835,10000
34,152,2,765,10000
44,152,2,2698,10000
60,152,2,0,10000
60,153,2,0,10000
60,154,2,0,10000
60,155,2,0,10000
60,156,2,0,10000
60,157,2,0,10000
