otype,label,description,is_candidate
"XB?","XB?","X-ray Binary Candidate",0           
"Pl?","Pl?","Extra-solar Planet Candidate",0           
"RNe","RefNeb","Reflection Nebula",0           
"LP?","LP?","Long-Period Variable Candidate",0           
"HB?","HB?","Horizontal Branch Star Candidate",0           
"G?","Galaxy_Candidate","Galaxy Candidate",1           
"HII","HIIReg","HII Region",0           
"mm","mmRad","Millimetric Radio Source",0           
"IR","Infrared","Infra-Red Source",0           
"Ir*","IrregularV*","Irregular Variable",0           
"BS?","BlueStraggler_Candidate","Blue Straggler Candidate",1           
"Ma?","Massiv*_Candidate","Massive Star Candidate",1           
"BD?","BD?","Brown Dwarf Candidate",0           
"N*?","N*?","Neutron Star Candidate",0           
"RR*","RRLyrae","RR Lyrae Variable",0           
"X","X","X-ray Source",0           
"pA?","post-AGB*_Candidate","Post-AGB Star Candidate",1           
"Ce?","Ce?","Cepheid Variable Candidate",0           
"GrG","GroupG","Group of Galaxies",0           
"SX*","SXPheV*","SX Phe Variable",0           
"a2?","a2?","alpha2 CVn Variable Candidate",0           
"LXB","LowMassXBin","Low Mass X-ray Binary",0           
"BS*","BlueStraggler","Blue Straggler",0           
"WD?","WhiteDwarf_Candidate","White Dwarf Candidate",1           
"SR?","SR?","SuperNova Remnant Candidate",0           
"smm","smmRad","Sub-Millimetric Source",0           
"s?b","BlueSG_Candidate","Blue Supergiant Candidate",1           
"BL?","BL?","BL Lac Candidate",0           
"cC*","ClassicalCep","Classical Cepheid Variable",0           
"Ae?","Ae*_Candidate","Herbig Ae/Be Star Candidate",1           
"TT?","TTauri*_Candidate","T Tauri Star Candidate",1           
"RR?","RR?","RR Lyrae Variable Candidate",0           
"vid","Void","Underdense Region of the Universe",0           
"LI?","LensedImage_Candidate","Gravitationally Lensed Image Candidate",1           
"s?b","s?b","Blue Supergiant Candidate",0           
"MGr","MouvGroup","Moving Group",0           
"El*","EllipVar","Ellipsoidal Variable",0           
"Er?","Er?","Eruptive Variable Candidate",0           
"N*","Neutron*","Neutron Star",0           
"cm","cmRad","Centimetric Radio Source",0           
"BH?","BlackHole_Candidate","Black Hole Candidate",1           
"Le?","Le?","Gravitational Lens Candidate",0           
"AGN","AGN","Active Galaxy Nucleus",0           
"GiC","GtowardsCl","Galaxy towards a Cluster of Galaxies",0           
"PN","PlanetaryNeb","Planetary Nebula",0           
"bC*","bCepV*","beta Cep Variable",0           
"OH*","OH/IR*","OH/IR Star",0           
"LeQ","LensedQ","Gravitationally Lensed Image of a Quasar",0           
"OpC","OpenCluster","Open Cluster",0           
"V*","Variable*","Variable Star",0           
"bC?","bCepV*_Candidate","beta Cep Variable Candidate",1           
"mR","metricRad","Metric Radio Source",0           
