otype,object_count
"*" ,5233040     
"G" ,3595126     
"EB*",1657637     
"LP?",1225960     
"QSO",804018      
"GiC",708968      
"Rad",639367      
"LP*",546022      
"WD?",428531      
"PM*",368565      
"RR*",322345      
"Y*?",184040      
"SB*",181697      
"BiC",165395      
"X" ,160117      
"ClG",118879      
"RB?",104910      
"V*",98497       
"RG*",92762       
"Mi*",86789       
"BY*",85187       
"EmG",84058       
"CGG",83983       
"RS*",83187       
"LM*",80520       
"AG?",77240       
"**",65056       
"FIR",63577       
"IR",61550       
"Y*O",58532       
"Pe*",57479       
"Pu*",52959       
"dS*",51687       
"MoC",49961       
"AGN",48387       
"Ro*",46476       
"WD*",46101       
"HII",45024       
"HB*",43517       
"Em*",40197       
"GrG",35281       
"El*",33411       
"Sy1",32946       
"HS?",29655       
"smm",28849       
"DNe",27968       
"?" ,26698       
"Sy2",25306       
"GlC",22741       
"C*",21851       
"NIR",21651       
"rG",21335       
"blu",19462       
"SN*",19261       
"cC*",17552       
"Gl?",17494       
"Cl*",17336       
"GiG",16868       
"cor",15961       
"BD?",15801       
"LIN",15308       
"LSB",13262       
"PN",12936       
"gB",12449       
"LeG",11062       
"RR?",10610       
"AB?",10525       
"mm",10488       
"PaG",10403       
"s?r",10128       
"G?",8344        
"Er*",8034        
"Ce*",8000        
"C?G",7890        
"Q?",7373        
"EmO",7124        
"UV",6976        
"PN?",6512        
"Pl?",6424        
"OpC",6408        
"bub",6325        
"HS*",6088        
"As*",6002        
"HVC",5812        
"TT*",5751        
"BLL",5694        
"Pl",5494        
"BS*",5377        
"cm",4894        
"EB?",4836        
"PoC",4623        
"gam",4605        
"MS*",4566        
"Cl?",4459        
"HI",4358        
"AB*",4311        
"CV*",4266        
"ev",4207        
"HB?",4045        
"MIR",4017        
"Psr",3739        
"Mas",3290        
"HH",3289        
"GiP",3103        
"Or*",3098        
"SN?",3035        
"WV*",2989        
"Opt",2969        
"sh",2932        
"PoG",2825        
"mul",2819        
"Cld",2805        
"BD*",2796        
"HV*",2681        
"vid",2527        
"LeI",2492        
"Be*",2430        
      ,2373        
"OH*",2205        
"s*r",2074        
"No*",2041        
"CV?",1985        
"SNR",1934        
"S*?",1870        
"ISM",1849        
"Bz?",1798        
"Bla",1684        
"HXB",1651        
"C*?",1624        
"WR*",1585        
"S*",1501        
"gD*",1462        
"SR?",1418        
"XB*",1406        
"IG",1316        
"Le?",1261        
"RNe",1256        
"Be?",1246        
"SCG",1242        
"s*b",1234        
"SyG",1230        
"Gr?",1205        
"gLS",1202        
"a2*",1181        
"err",1146        
"H2G",1020        
"LI?",1018        
"V*?",1012        
"LS?",819         
"SBG",802         
"rB",758         
"SB?",733         
"Ir*",672         
"LXB",657         
"reg",633         
"BS?",607         
"pA?",517         
"gLe",479         
"bCG",472         
"SFR",455         
"RV*",453         
"SX*",452         
"of?",422         
"Ce?",400         
"sg*",364         
"out",359         
"bC*",346         
"s?b",334         
"pA*",311         
"WV?",311         
"TT?",292         
"Sy*",277         
"No?",266         
"s*y",261         
"GWE",233         
"UX?",232         
"glb",204         
"Lev",197         
"LeQ",196         
"RC*",193         
"XB?",193         
"GNe",182         
"Ae*",181         
"bC?",164         
"WR?",151         
"St*",149         
"ULX",144         
"MGr",137         
"LM?",123         
"Mi?",95          
"HX?",84          
"flt",78          
"sg?",63          
"CGb",60          
"BL?",55          
"**?",49          
"Ae?",48          
"El?",43          
"s?y",32          
"LX?",31          
"PCG",24          
"Sy?",22          
"Ma*",20          
"Pe?",19          
"OH?",19          
"MS?",19          
"BH?",19          
"N*",15          
"N*?",15          
"Ev?",10          
"RC?",10          
"PCG?",6           
"grv",5           
"a2?",4           
"BH",2           
"BY?",2           
"RS?",2           
